,time,carID,speed,loc,roadID,is_Service_Provider,task,cc,cp
290,55,9,60.0,283.3333333333333,1,False,C,4,30
291,55,8,100.0,527.7777777777777,2,False,A,4,20
292,55,12,60.0,150.0,1,False,B,2,30
293,55,6,60.0,416.66666666666765,5,True,C,3,30
294,55,11,60.0,183.33333333333331,1,False,C,2,30
295,55,10,180.0,800.0,4,True,A,2,20
296,55,7,60.0,516.6666666666678,5,False,B,4,30
297,55,16,140.0,0.0,3,False,B,1,10
298,55,14,100.0,55.55555555555556,2,False,B,1,30
299,55,15,60.0,16.666666666666668,1,False,A,3,10
300,55,4,60.0,783.3333333333329,1,False,C,1,20
301,55,13,100.0,861.1111111111109,6,False,C,1,10
302,56,15,60.0,33.333333333333336,1,False,A,3,10
303,56,11,60.0,199.99999999999997,1,False,C,2,30
304,56,12,60.0,166.66666666666666,1,False,B,2,30
305,56,7,60.0,500.0000000000011,5,False,B,4,30
306,56,17,140.0,0.0,3,False,B,3,20
307,56,6,60.0,400.00000000000097,5,True,C,3,30
308,56,16,140.0,38.888888888888886,3,False,B,1,10
309,56,8,100.0,555.5555555555555,2,False,A,4,20
310,56,14,100.0,83.33333333333334,2,False,B,1,30
311,56,13,100.0,833.333333333333,6,False,C,1,10
312,56,10,180.0,850.0,4,True,A,2,20
313,56,9,60.0,300.0,1,False,C,4,30
314,56,4,60.0,799.9999999999995,1,False,C,1,20
315,57,4,60.0,816.6666666666662,1,False,C,1,20
316,57,13,100.0,805.5555555555552,6,False,C,1,10
317,57,17,140.0,38.888888888888886,3,False,B,3,20
318,57,6,60.0,383.3333333333343,5,True,C,3,30
319,57,16,140.0,77.77777777777777,3,False,B,1,10
320,57,9,60.0,316.6666666666667,1,False,C,4,30
321,57,7,60.0,483.3333333333344,5,False,B,4,30
322,57,10,180.0,900.0,4,True,A,2,20
323,57,12,60.0,183.33333333333331,1,False,B,2,30
324,57,14,100.0,111.11111111111111,2,False,B,1,30
325,57,8,100.0,583.3333333333334,2,False,A,4,20
326,57,11,60.0,216.66666666666663,1,False,C,2,30
327,57,15,60.0,50.0,1,False,A,3,10
328,58,13,100.0,777.7777777777774,6,False,C,1,10
329,58,16,140.0,116.66666666666666,3,False,B,1,10
330,58,8,100.0,611.1111111111112,2,False,A,4,20
331,58,6,60.0,366.6666666666676,5,True,C,3,30
332,58,7,60.0,466.6666666666677,5,False,B,4,30
333,58,12,60.0,199.99999999999997,1,False,B,2,30
334,58,9,60.0,333.33333333333337,1,False,C,4,30
335,58,11,60.0,233.3333333333333,1,False,C,2,30
336,58,15,60.0,66.66666666666667,1,False,A,3,10
337,58,10,180.0,950.0,4,True,A,2,20
338,58,14,100.0,138.88888888888889,2,False,B,1,30
339,58,17,140.0,77.77777777777777,3,False,B,3,20
340,58,4,60.0,833.3333333333328,1,False,C,1,20
341,59,13,100.0,749.9999999999995,6,False,C,1,10
342,59,10,180.0,1000.0,4,True,A,2,20
343,59,15,60.0,83.33333333333334,1,False,A,3,10
344,59,17,140.0,116.66666666666666,3,False,B,3,20
345,59,7,60.0,450.000000000001,5,False,B,4,30
346,59,16,140.0,155.55555555555554,3,False,B,1,10
347,59,12,60.0,216.66666666666663,1,False,B,2,30
348,59,14,100.0,166.66666666666666,2,False,B,1,30
349,59,18,60.0,1000.0,5,False,B,4,10
350,59,4,60.0,849.9999999999994,1,False,C,1,20
351,59,8,100.0,638.888888888889,2,False,A,4,20
352,59,11,60.0,249.99999999999994,1,False,C,2,30
353,59,6,60.0,350.0000000000009,5,True,C,3,30
354,59,9,60.0,350.00000000000006,1,False,C,4,30
355,60,17,140.0,155.55555555555554,3,False,B,3,20
356,60,12,60.0,233.3333333333333,1,False,B,2,30
357,60,4,60.0,866.6666666666661,1,False,C,1,20
358,60,19,60.0,1000.0,5,False,C,2,30
359,60,16,140.0,194.44444444444443,3,False,B,1,10
360,60,15,60.0,100.00000000000001,1,False,A,3,10
361,60,9,60.0,366.66666666666674,1,False,C,4,30
362,60,11,60.0,266.66666666666663,1,False,C,2,30
363,60,6,60.0,333.3333333333342,5,True,C,3,30
364,60,8,100.0,666.6666666666669,2,False,A,4,20
365,60,18,60.0,983.3333333333334,5,False,B,4,10
366,60,13,100.0,722.2222222222217,6,False,C,1,10
367,60,7,60.0,433.33333333333434,5,False,B,4,30
368,60,14,100.0,194.44444444444443,2,False,B,1,30
369,61,7,60.0,416.66666666666765,5,False,B,4,30
370,61,17,140.0,194.44444444444443,3,False,B,3,20
371,61,15,60.0,116.66666666666669,1,False,A,3,10
372,61,8,100.0,694.4444444444447,2,False,A,4,20
373,61,13,100.0,694.4444444444439,6,False,C,1,10
374,61,11,60.0,283.3333333333333,1,False,C,2,30
375,61,18,60.0,966.6666666666667,5,False,B,4,10
376,61,19,60.0,983.3333333333334,5,False,C,2,30
377,61,4,60.0,883.3333333333327,1,False,C,1,20
378,61,6,60.0,316.66666666666754,5,True,C,3,30
379,61,12,60.0,249.99999999999994,1,False,B,2,30
380,61,9,60.0,383.3333333333334,1,False,C,4,30
381,61,16,140.0,233.33333333333331,3,False,B,1,10
382,61,14,100.0,222.2222222222222,2,False,B,1,30
383,62,11,60.0,300.0,1,False,C,2,30
384,62,17,140.0,233.33333333333331,3,False,B,3,20
385,62,18,60.0,950.0000000000001,5,False,B,4,10
386,62,8,100.0,722.2222222222225,2,False,A,4,20
387,62,14,100.0,249.99999999999997,2,False,B,1,30
388,62,16,140.0,272.2222222222222,3,False,B,1,10
389,62,9,60.0,400.0000000000001,1,False,C,4,30
390,62,12,60.0,266.66666666666663,1,False,B,2,30
391,62,6,60.0,300.00000000000085,5,True,C,3,30
392,62,7,60.0,400.00000000000097,5,False,B,4,30
393,62,13,100.0,666.6666666666661,6,False,C,1,10
394,62,19,60.0,966.6666666666667,5,False,C,2,30
395,62,4,60.0,899.9999999999993,1,False,C,1,20
396,62,15,60.0,133.33333333333334,1,False,A,3,10
397,63,15,60.0,150.0,1,False,A,3,10
398,63,18,60.0,933.3333333333335,5,False,B,4,10
399,63,13,100.0,638.8888888888882,6,False,C,1,10
400,63,11,60.0,316.6666666666667,1,False,C,2,30
401,63,14,100.0,277.77777777777777,2,False,B,1,30
402,63,7,60.0,383.3333333333343,5,False,B,4,30
403,63,8,100.0,750.0000000000003,2,False,A,4,20
404,63,9,60.0,416.6666666666668,1,False,C,4,30
405,63,19,60.0,950.0000000000001,5,False,C,2,30
406,63,16,140.0,311.1111111111111,3,False,B,1,10
407,63,12,60.0,283.3333333333333,1,False,B,2,30
408,63,20,140.0,1000.0,7,True,A,2,20
409,63,17,140.0,272.2222222222222,3,False,B,3,20
410,63,4,60.0,916.666666666666,1,False,C,1,20
411,63,6,60.0,283.33333333333417,5,True,C,3,30
412,64,6,60.0,266.6666666666675,5,True,C,3,30
413,64,19,60.0,933.3333333333335,5,False,C,2,30
414,64,7,60.0,366.6666666666676,5,False,B,4,30
415,64,17,140.0,311.1111111111111,3,False,B,3,20
416,64,13,100.0,611.1111111111104,6,False,C,1,10
417,64,18,60.0,916.6666666666669,5,False,B,4,10
418,64,16,140.0,350.0,3,False,B,1,10
419,64,11,60.0,333.33333333333337,1,False,C,2,30
420,64,12,60.0,300.0,1,False,B,2,30
421,64,9,60.0,433.3333333333335,1,False,C,4,30
422,64,14,100.0,305.55555555555554,2,False,B,1,30
423,64,4,60.0,933.3333333333326,1,False,C,1,20
424,64,8,100.0,777.7777777777782,2,False,A,4,20
425,64,15,60.0,166.66666666666666,1,False,A,3,10
426,64,20,140.0,961.1111111111111,7,True,A,2,20
427,65,18,60.0,900.0000000000002,5,False,B,4,10
428,65,6,60.0,250.00000000000082,5,True,C,3,30
429,65,4,60.0,949.9999999999992,1,False,C,1,20
430,65,14,100.0,333.3333333333333,2,False,B,1,30
431,65,13,100.0,583.3333333333326,6,False,C,1,10
